Brand,Color,Price,no_of_star,rating,discount,Model,Ton
Voltas,White,"₹32,490",3,4.2,48% off,2023,1.5
SAMSUNG,White,"₹30,490",3,4.2,51% off,,1.5
Daikin,White,"₹25,999",3,4.1,30% off,2023,0.8
Godrej,,"₹29,490",3,4.1,31% off,2023,
Whirlpool,,"₹37,990",5,3.9,46% off,2023,1.5
Haier,,"₹31,990",3,4,50% off,2023,1.5
Blue,,"₹28,999",3,4.2,30% off,2023,0.8
Voltas,White,"₹39,490",5,4.2,48% off,2023,1.5
Daikin,White,"₹37,999",3,4.2,34% off,2023,1.5
Blue,,"₹35,900",3,4.2,42% off,2023,1.5
LG,,"₹31,490",5,4.2,49% off,,
Godrej,,"₹34,490",4,4.1,31% off,2023,1.5
Voltas,White,"₹28,200",3,4.1,34% off,,1.5
Panasonic,,"₹36,490",3,4.3,34% off,2023,1.5
Lloyd,White,"₹33,499",3,4.2,44% off,2023,1.5
Whirlpool,,"₹34,490",4,3.9,48% off,2023,1.5
Lloyd,White,"₹39,990",5,4.2,41% off,2023,1.5
SAMSUNG,White,"₹35,490",3,4.1,41% off,2023,1.5
Daikin,White,"₹45,490",5,4.2,32% off,2023,1.5
Voltas,White,"₹25,999",3,4.1,46% off,,0.75
Godrej,White,"₹26,149",3,3.9,37% off,2023,1.5
Godrej,,"₹37,990",5,4,30% off,2023,1.5
Whirlpool,,"₹27,490",3,3.9,50% off,2023,0.8
LG,White,"₹35,990",3,3.9,55% off,2023,1.5
LG,White,"₹35,990",3,,55% off,2023,1.5
Godrej,White,"₹26,149",3,3.9,37% off,2023,1.5
Blue,,"₹32,690",3,4.2,36% off,2023,
Voltas,White,"₹39,490",5,4.1,48% off,2023,1.5
Lloyd,White,"₹28,900",3,4.2,31% off,2023,0.8
Daikin,White,"₹36,980",3,4.1,36% off,,1.5
Whirlpool,,"₹32,790",3,3.9,47% off,2023,1.5
SAMSUNG,White,"₹38,990",5,4.2,40% off,,1.5
Voltas,White,"₹26,639",3,4,33% off,,
ONIDA,White,"₹31,490",3,4.2,49% off,,1.5
Blue,,"₹43,990",5,4.2,39% off,2023,1.5
Godrej,White,"₹31,313",3,4,31% off,,1.5
realme,,"₹30,490",4,4.1,44% off,,1.5
LG,,"₹36,699",3,4.2,51% off,2023,1.5
SAMSUNG,White,"₹38,990",4,4.1,40% off,2023,1.5
Daikin,White,"₹32,990",3,4.2,31% off,2023,
Blue,,"₹35,990",5,4.2,48% off,,1.5
SAMSUNG,W,"₹36,490",3,4,41% off,2023,1.5
Haier,,"₹30,999",3,4,48% off,2023,1.3
Haier,,"₹39,490",5,4,44% off,2023,1.5
Godrej,White,"₹36,990",3,3.9,47% off,,
Lloyd,White,"₹32,990",3,4.2,45% off,,1.5
Whirlpool,,"₹32,990",3,3.9,47% off,2023,1.5
Whirlpool,White,"₹31,990",5,4.1,47% off,2023,
Blue,,"₹35,990",3,4.2,41% off,2023,1.5
SAMSUNG,W,"₹36,490",3,4,41% off,2023,1.5
LG,White,"₹33,990",3,4.1,48% off,2023,1.5
Voltas,White,"₹30,490",3,4.2,49% off,2023,1.2
Panasonic,,"₹44,490",5,4.3,29% off,2023,1.5
LG,,"₹33,490",5,4.2,46% off,,
Panasonic,White,"₹19,999",5,,39% off,,
Blue,White,"₹24,990",3,4.1,16% off,2023,0.8
Voltas,White,"₹31,499",3,4.2,32% off,2023,1.5
Lloyd,White,"₹37,999",3,4.2,41% off,2023,1.5
CANDY,White,"₹27,490",3,4,49% off,2023,
MarQ,,"₹28,990",3,4.1,43% off,,1.5
Panasonic,White,"₹28,990",3,4.3,39% off,,
CARRIER,,"₹30,990",3,4.1,45% off,2023,
LG,,"₹35,990",3,4.1,47% off,2023,1.5
SAMSUNG,White,"₹36,999",5,4.1,36% off,2023,
LG,,"₹44,490",5,4.1,48% off,2023,1.5
realme,,"₹32,999",5,4.1,45% off,,1.5
realme,White,"₹29,999",4,4.1,43% off,,1.5
MarQ,,"₹28,990",3,4.1,45% off,,1.5
Voltas,White,"₹35,470",5,4.1,29% off,2023,1.5
MarQ,,"₹25,990",3,4.1,42% off,,0.8
LG,,"₹44,490",5,4.1,41% off,2023,1.5
IFB,,"₹43,990",5,4.2,25% off,2023,1.5
Blue,,"₹32,990",3,4.2,42% off,2023,1.2
realme,,"₹29,490",5,4.1,42% off,,
CARRIER,White,"₹37,999",4,4.1,45% off,2023,1.5
MarQ,,"₹30,999",4,4.1,42% off,,1.5
Hitachi,White,"₹31,984",,3.9,46% off,,
Daikin,White,"₹36,999",3,4.1,36% off,,1.5
Voltas,White,"₹34,490",5,4.2,31% off,,1.5
LG,,"₹34,999",3,4.1,49% off,,1.5
realme,,"₹28,999",4,4.1,43% off,,1.2
CARRIER,,"₹36,999",5,4.1,44% off,2023,1.2
Godrej,,"₹33,490",5,4.1,31% off,2023,
Godrej,,"₹48,990",5,4.2,28% off,2023,
SAMSUNG,Whi,"₹32,990",3,4,35% off,2023,
Thomson,White,"₹26,499",2,4.1,28% off,2023,
CARRIER,,"₹45,999",5,4,43% off,2023,1.5
Panasonic,White,"₹39,933",4,4.1,42% off,,1.5
Haier,,"₹36,490",4,3.7,42% off,2023,
Panasonic,White,"₹41,990",5,4.1,33% off,,1.5
Midea,,"₹35,990",5,4,47% off,2023,1.5
Blue,White,"₹33,990",3,4.2,40% off,2023,1.3
Voltas,White,"₹32,439",3,4.2,50% off,,1.5
Hitachi,White,"₹28,990",3,4.1,18% off,2023,1.5
realme,,"₹27,999",4,4.1,42% off,,
Hitachi,,"₹55,990",4,3.9,41% off,2023,1.8
SAMSUNG,White,"₹42,500",5,4.1,41% off,2023,1.5
Midea,,"₹27,999",3,4,46% off,2023,
Panasonic,,"₹35,490",3,4.1,34% off,2023,1.5
Hitachi,White,"₹35,499",3,,42% off,2023,1.5
Whirlpool,,"₹32,690",5,3.9,49% off,2023,
ONIDA,White,"₹29,490",5,4.2,45% off,,
Hitachi,White,"₹37,199",3,4.3,41% off,2023,1.5
SAMSUNG,White,"₹39,490",5,4.2,41% off,,1.5
Panasonic,White,"₹44,511",3,4.3,35% off,,
Daikin,White,"₹46,499",5,4.2,34% off,,1.5
LG,White,"₹39,990",5,4.1,39% off,2023,1.5
LG,,"₹49,990",5,4.1,39% off,2023,1.5
Panasonic,,"₹50,990",3,4.3,26% off,2023,
Whirlpool,,"₹41,990",3,3.9,46% off,2023,
Lloyd,White,"₹39,999",5,4.2,41% off,2023,1.5
Haier,,"₹36,999",4,4,47% off,2023,1.5
Panasonic,,"₹33,490",3,4.3,30% off,2023,
SAMSUNG,White,"₹33,999",3,4.1,35% off,2023,
Voltas,White,"₹28,734",3,4.2,56% off,,1.6
Voltas,White,"₹47,999",3,4.3,41% off,2023,
Lloyd,White,"₹27,999",2,4.2,40% off,2023,
Godrej,White,"₹41,409",3,,26% off,,
Thomson,,"₹30,499",3,4,30% off,2023,1.5
Daikin,White,"₹40,380",3,4.1,27% off,,1.5
Blue,White,"₹26,990",3,4.1,18% off,2023,
Lloyd,White,"₹34,999",5,4.2,44% off,2023,1.2
SAMSUNG,Whi,"₹50,999",3,4,39% off,2023,
IFB,,"₹37,490",3,4.2,25% off,2023,1.5
Godrej,White,"₹39,490",5,4.2,23% off,,1.5
LG,,"₹49,990",5,4.1,39% off,2023,1.5
Lloyd,White,"₹36,499",4,4.2,42% off,2023,1.5
Voltas,White,"₹30,470",3,3.7,46% off,,
LG,,"₹33,490",3,4.1,42% off,2023,
IFB,,"₹48,490",3,4.2,23% off,2023,
Godrej,White,"₹33,990",3,3.9,29% off,2023,1.5
Voltas,White,"₹44,600",5,4.2,40% off,,1.5
Voltas,White,"₹44,999",3,4.2,43% off,2023,
Panasonic,,"₹41,990",5,4.1,34% off,2023,
SAMSUNG,White,"₹45,499",5,4.1,38% off,2023,1.5
Daikin,White,"₹46,499",5,4.2,34% off,,1.5
CARRIER,,"₹37,999",3,4,47% off,2023,1.5
CARRIER,White,"₹35,589",5,4.3,53% off,,1.5
